max_depth,cv_acc_mean,cv_acc_std
1,0.7447680236445147,0.00490593268206177
2,0.7655263329388766,0.002300632932822545
3,0.8572621316508029,0.003039807161894253
4,0.8686785657474317,0.002831943888855895
5,0.8845441437157537,0.0019002737603339558
6,0.8973827180010435,0.0021877741330805756
7,0.9127655593577252,0.002307756515774526
8,0.919106560953756,0.002244302394325314
9,0.9248995407411362,0.0010847004634792965
10,0.9276786057196975,0.0010393371113715055
11,0.9313188236277903,0.0015700600901428024
12,0.934071794275345,0.002340795044295792
13,0.9362246370184584,0.0014894361095933448
14,0.9390689582532923,0.0012487739434644336
15,0.9404389531910466,0.0021390451353565996
16,0.9412087589380915,0.002942109052618208
17,0.9410913370021563,0.0035669435448045113
18,0.9413653376921036,0.003870780690581592
19,0.9416132048959284,0.00279939874868893
20,0.9421481497471398,0.0028085688809432185
21,0.9411696029712127,0.002809987638092936
22,0.9407781777917359,0.0019598418601590164
23,0.9402823744370344,0.001618827394570724
24,0.9400736274497653,0.002195792052115024
25,0.9403737037443595,0.0022352695259001353
26,0.9403606548764598,0.002305329287186598
27,0.9400736104258021,0.0021483283173596734
28,0.9402823650738548,0.002137995645139745
29,0.9400736231937745,0.002563430492214624
30,0.9396952230486486,0.0015939325373960846
